Probe	HGG184.rcc	HGG185.rcc	HGG187.rcc	HGG190.rcc	HGG191.rcc	HGG192.rcc	HGG193.rcc	HGG198.rcc	HGG199.rcc	HGG202.rcc	LGG1352.rcc	LGG1353.rcc	LGG1357.rcc	LGG1358.rcc	LGG1361.rcc	LGG1380.rcc	LGG1390.rcc	LGG1395.rcc	LGG1414.rcc	LGG1425.rcc	NB_01.rcc	NB_02.rcc	NB_03.rcc	NB_04.rcc	NB_05.rcc
Endogenous_NFKB1_NM_003998.2	503	149	227	203	305	356	343	145	112	148	533	412	291	428	565	539	312	734	208	403	208	244	289	204	138
Endogenous_CD8a_NM_001768.5	107	89	45	38	311	277	189	115	95	62	304	70	63	143	419	681	111	896	346	75	289	282	351	336	370
Endogenous_HAVCR2/TIM3_NM_032782.4	1235	356	646	261	218	510	387	260	121	352	1416	661	624	833	736	904	195	1132	401	515	445	626	519	253	327
Endogenous_IGL_ENST00000390323.1	210	257	252	233	2016	1193	1057	429	723	646	45429	1338	779	5669	1521	4054	320	9218	562	481	844	810	9728	851	1168
Endogenous_IL12b_NM_002187.2	20	10	18	22	18	17	18	17	95	25	76	31	30	28	56	117	22	70	35	24	14	30	20	15	11
Endogenous_B2M_NM_004048.2	36496	20130	24267	18141	23696	42450	32864	5135	12075	6546	131990	42654	20950	62228	83116	175980	18955	107740	14466	25723	10995	18245	27813	11452	18318
Endogenous_TNFRSF9_NM_001561.4	53	33	39	22	37	40	43	37	95	31	120	56	32	49	56	108	24	132	43	30	9	34	96	22	35
Endogenous_CD19_XM_011545981.1	22	21	64	8	41	13	6	7	60	6	44	20	22	45	37	87	14	51	24	19	25	24	209	11	10
Endogenous_PRKCA_NM_002737.2	391	1365	847	861	1296	1209	597	972	293	457	5219	2393	2099	3371	1816	1161	1182	2093	2120	2651	1632	1949	2525	2096	3208
Endogenous_TLR8_NM_016610.2	220	45	62	47	60	62	84	34	181	43	423	100	52	116	384	454	59	414	47	60	34	137	37	24	21
Endogenous_APOL3_NR_027833.1	671	252	246	102	503	647	271	358	551	192	1580	630	479	716	1428	2564	418	2573	503	666	537	462	900	344	410
Endogenous_CD84_NM_001184879.1	20	6	10	9	11	14	8	17	43	19	29	24	11	14	28	41	11	33	28	22	20	7	16	7	6
Endogenous_CXCL9_NM_002416.1	231	90	59	31	841	80	148	34	95	56	200	42	26	148	121	661	16	336	28	32	38	32	281	18	16
Endogenous_PSMB10_NM_002801.2	11	6	12	9	11	12	6	14	69	9	19	9	16	16	23	47	25	30	28	11	14	20	16	11	11
Endogenous_IL10_NM_000572.2	27	9	23	20	17	28	81	7	69	31	58	71	18	44	26	116	19	151	28	19	14	34	41	18	24
Endogenous_SPOP_NM_001007226.1	1331	1407	1254	1222	1788	1717	1739	1063	1214	1153	2034	1622	1626	1518	1780	2078	2075	1969	2234	1948	1569	1716	1816	1960	2110
Endogenous_ICOSLG/ICOSL/CD275/B7-H2_NM_015259.5	240	86	127	82	45	161	49	68	138	195	402	197	208	201	169	184	296	211	161	684	578	554	515	214	96
Endogenous_HLA-DRB1_NM_002124.3	23016	3692	3478	1690	6176	5149	6066	1209	5908	13785	72954	14201	2199	22129	24562	49108	657	29070	1046	6458	3138	7215	8539	1501	5039
Endogenous_IDO1_NM_002164.5	31	23	18	17	61	26	20	20	26	34	74	54	7	14	78	271	12	136	20	22	16	13	57	9	12
Endogenous_CD4_NM_000616.4	2192	583	1191	785	959	933	1024	432	327	445	3591	1493	930	1428	2188	4044	592	3371	531	839	609	1138	1015	506	894
Endogenous_PBRM1_NM_181042.3	759	1918	1213	1479	1246	2057	1620	1323	1111	1091	1019	1390	1115	1313	1320	1279	968	1684	1180	1273	941	1235	1168	1134	919
Endogenous_TNNC2_NM_003279.2	48	14	24	28	37	32	23	47	78	53	39	57	22	33	66	151	11	82	24	17	34	54	47	34	24
Endogenous_CD3e_NM_000733.2	196	96	32	18	192	133	90	30	78	34	328	61	12	131	159	263	16	439	28	99	41	90	246	32	36
Endogenous_STING1_NM_198282.1	201	112	156	63	141	110	130	125	250	393	274	133	67	434	159	210	42	603	110	80	144	265	141	98	126
Endogenous_CD38_NM_001775.2	1831	982	168	88	237	633	317	2819	146	603	577	938	1698	462	346	234	2439	153	570	386	479	458	683	217	256
Endogenous_JAK2_NM_004972.3	1658	1010	803	743	920	1250	2282	830	1085	578	1546	1460	1143	1376	2009	2067	759	2074	975	932	1047	1268	1388	1132	1596
Endogenous_ICOS_NM_012092.2	16	11	10	8	9	12	13	3	52	19	13	11	14	12	12	11	10	24	20	6	16	14	27	8	7
